NAMESPACE     LAST SEEN   TYPE      REASON                    OBJECT                                                           MESSAGE
default       52m         Normal    Starting                  node/<NODE-02>
default       52m         Normal    Starting                  node/<NODE-01>
default       52m         Normal    Starting                  node/<NODE-04>
default       52m         Normal    Starting                  node/<NODE-03>
kube-system   58m         Normal    LeaderElection            lease/cloud-controller-manager                                   <CONTROL-PLANE-01>_fd6e2e21-0c91-4c2a-9e33-c816940bfaff became leader
kube-system   58m         Normal    LeaderElection            lease/eks-certificates-controller                                <NODE-05> became leader
kube-system   58m         Normal    LeaderElection            lease/kube-controller-manager                                    <CONTROL-PLANE-01>_15f22cff-6ac4-47b9-89a7-62fb85f2505c became leader
kube-system   58m         Normal    LeaderElection            lease/cp-vpc-resource-controller                                 <CONTROL-PLANE-01>_6902c328-84e7-4043-9863-cd3602cf9cf9 became leader
kube-system   58m         Normal    LeaderElection            lease/eks-coredns-autoscaler                                     <CONTROL-PLANE-01>_a918d088-7654-487f-a522-2d104225e4cf became leader
kube-system   58m         Normal    LeaderElection            lease/kube-scheduler                                             <CONTROL-PLANE-01>_8ac61ac0-de59-4fbd-a350-d06e446cd2df became leader
kube-system   54m         Normal    LeaderElection            lease/amazon-network-policy-controller-k8s                       <CONTROL-PLANE-01>_56936209-99fa-4121-9972-929bca555d05 became leader
default       53m         Normal    Starting                  node/<NODE-03>                                 Starting kubelet.
default       53m         Warning   InvalidDiskCapacity       node/<NODE-03>                                 invalid capacity 0 on image filesystem
default       53m         Normal    Starting                  node/<NODE-01>                                  Starting kubelet.
default       53m         Warning   InvalidDiskCapacity       node/<NODE-01>                                  invalid capacity 0 on image filesystem
default       53m         Normal    NodeHasSufficientMemory   node/<NODE-01>                                  Node <NODE-01> status is now: NodeHasSufficientMemory
default       53m         Normal    NodeHasSufficientMemory   node/<NODE-03>                                 Node <NODE-03> status is now: NodeHasSufficientMemory
default       53m         Normal    NodeHasSufficientPID      node/<NODE-01>                                  Node <NODE-01> status is now: NodeHasSufficientPID
default       53m         Normal    NodeAllocatableEnforced   node/<NODE-01>                                  Updated Node Allocatable limit across pods
default       53m         Normal    NodeHasNoDiskPressure     node/<NODE-01>                                  Node <NODE-01> status is now: NodeHasNoDiskPressure
default       53m         Warning   InvalidDiskCapacity       node/<NODE-04>                                  invalid capacity 0 on image filesystem
default       53m         Normal    Starting                  node/<NODE-04>                                  Starting kubelet.
default       53m         Normal    NodeAllocatableEnforced   node/<NODE-03>                                 Updated Node Allocatable limit across pods
default       53m         Normal    NodeHasSufficientPID      node/<NODE-03>                                 Node <NODE-03> status is now: NodeHasSufficientPID
default       53m         Normal    NodeHasNoDiskPressure     node/<NODE-03>                                 Node <NODE-03> status is now: NodeHasNoDiskPressure
default       53m         Normal    Synced                    node/<NODE-04>                                  Node synced successfully
kube-system   53m         Normal    SuccessfulCreate          daemonset/aws-node                                               Created pod: aws-node-9tgh2
kube-system   53m         Normal    Scheduled                 pod/aws-node-9tgh2                                               Successfully assigned kube-system/aws-node-9tgh2 to <NODE-01>
kube-system   53m         Normal    Scheduled                 pod/eks-pod-identity-agent-6zsqw                                 Successfully assigned kube-system/eks-pod-identity-agent-6zsqw to <NODE-01>
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-6zsqw                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Scheduled                 pod/aws-node-b7n6t                                               Successfully assigned kube-system/aws-node-b7n6t to <NODE-04>
kube-system   53m         Normal    Scheduled                 pod/aws-node-qd46x                                               Successfully assigned kube-system/aws-node-qd46x to <NODE-03>
kube-system   53m         Normal    Scheduled                 pod/eks-pod-identity-agent-mfjkk                                 Successfully assigned kube-system/eks-pod-identity-agent-mfjkk to <NODE-03>
kube-system   53m         Normal    Pulling                   pod/eks-pod-identity-agent-mfjkk                                 Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/eks/eks-pod-identity-agent:v0.1.37"
kube-system   53m         Normal    Pulling                   pod/aws-node-qd46x                                               Pulling image "602401143452.dkr.ecr.us-east-1.amazonaws.com/amazon-k8s-cni-init:v1.22.4-eksbuild.3"
kube-system   53m         Normal    SuccessfulCreate          daemonset/aws-node                                               Created pod: aws-node-qd46x
default       53m         Normal    NodeHasNoDiskPressure     node/<NODE-04>                                  Node <NODE-04> status is now: NodeHasNoDiskPressure
kube-system   53m         Normal    SuccessfulCreate          daemonset/aws-node                                               Created pod: aws-node-b7n6t
